"","topic","term","beta"
"387",20,"never",0.0242513452949426
"388",20,"every",0.0229275618335578
"389",20,"people",0.0224789463271996
"390",20,"want",0.0213647619138673
"391",20,"way",0.0200556871576089
"392",20,"see",0.0181803272539804
"393",20,"love",0.0175772703437939
"394",20,"another",0.016665330625951
"395",20,"thing",0.0158453203151487
"396",20,"nothing",0.0158195800811774
"397",20,"mean",0.0147421674306613
"398",20,"believe",0.0142641345140501
"399",20,"happen",0.0138155190076919
"400",20,"hope",0.0132124620975055
"401",21,"border",0.122133743697604
"402",21,"wall",0.107640873971024
"403",21,"build",0.0481691281482846
"404",21,"pay",0.0384210346161101
"405",21,"tax",0.0247365611406107
"406",21,"mexico",0.0240774632962612
"407",21,"open",0.0223222966610322
"408",21,"fund",0.0217578758550975
"409",21,"patrol",0.0198388451149197
"410",21,"mexican",0.0192926314317572
"411",21,"money",0.0181819969426599
"412",21,"cost",0.0157604496139726
"413",21,"agent",0.0154290799795206
"414",21,"plan",0.0148610177490316
"415",21,"cut",0.0147517750123991
"416",21,"billion",0.0143876325569573
"417",21,"spend",0.0121226664841099
"418",21,"use",0.0101453729510614
"419",21,"house",0.009242299661566
"420",21,"government",0.0090711527075084
"421",22,"make",0.0545072564835278
"422",22,"#maga",0.0412910332537477
"423",22,"support",0.0406786394753623
"424",22,"thank",0.0333069493680479
"425",22,"great",0.0331921255346006
"426",22,"#trump",0.0326830732063178
"427",22,"#buildthewall",0.0325644219117556
"428",22,"america",0.0298584069035151
"429",22,"#immigration",0.0282853203852876
"430",22,"#refugees",0.0280633276406228
"431",22,"late",0.0161331313454521
"432",22,"#muslimban",0.013407979031637
"433",22,"#refugeeswelcome",0.0128759619366647
"434",22,"please",0.0122520857749346
"435",22,"love",0.0113564598740459
"436",22,"welcome",0.0111497769738408
"437",22,"#tcot",0.0095231060000046
"438",22,"proud",0.0091748070385479
"439",22,"daily",0.0090944303551348
"440",22,"#trumptrain",0.00864278994357557
"441",23,"refugee",0.283951255757402
"442",23,"syrian",0.0410286557830137
"443",23,"help",0.0276562854010726
"444",23,"camp",0.0188187704314762
"445",23,"child",0.0187659986462278
"446",23,"war",0.0180518204858663
"447",23,"crisis",0.0172426531120577
"448",23,"flee",0.0155750646982087
"449",23,"welcome",0.01553284727001
"450",23,"zero",0.0152373252726191
"451",23,"rohingya",0.0131862618859651
"452",23,"tolerance",0.0113673943544041
"453",23,"syria",0.0105547088615789
"454",23,"return",0.00991089308154859
"455",23,"aid",0.00956259929890924
"456",23,"world",0.00949575503759462
"457",23,"un",0.00777891295751379
"458",23,"million",0.00742358293684132
"459",23,"bangladesh",0.00677976715681101
"460",23,"india",0.00654757130171811
"461",24,"immigrant",0.170134681953862
"462",24,"american",0.0774663628175077
"463",24,"take",0.0482422217600504
"464",24,"citizen",0.0360041269801326
"465",24,"legal",0.0295279655453409
"466",24,"first",0.0261677629266033
"467",24,"care",0.0252648009894094
"468",24,"us",0.0232775445948476
"469",24,"job",0.0217306671778517
"470",24,"america",0.0214272127563357
"471",24,"free",0.0211015543527576
"472",24,"people",0.0194251537070658
"473",24,"become",0.0186924222990151
"474",24,"give",0.0176525358057714
"475",24,"kid",0.0145217743350092
"476",24,"many",0.0144218564157296
"477",24,"away",0.0135447991242749
"478",24,"turn",0.0118054871960737
"479",24,"hire",0.0116352566669306
"480",24,"want",0.0114502234830795
